City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Anchorage,US,2020-03-31 20:54:00,61.22,-149.9,30.0,38,1,4.7
243,Eureka,US,2020-03-31 20:54:24,40.8,-124.16,54.0,81,90,9.17
244,Port Macquarie,AU,2020-03-31 20:50:14,-31.43,152.92,63.0,100,18,3.36
245,Morehead,US,2020-03-31 20:54:25,37.27,-87.18,55.4,50,40,9.17
246,Vytegra,RU,2020-03-31 20:50:11,61.01,36.45,25.84,81,100,10.6
247,Georgetown,MY,2020-03-31 20:54:25,5.41,100.34,84.2,88,20,3.76
248,Chaman,PK,2020-03-31 20:54:25,30.92,66.45,58.46,30,0,5.28
249,Sept-Iles,CA,2020-03-31 20:50:26,50.2,-66.38,37.99,64,90,4.7
250,Hvide Sande,DK,2020-03-31 20:54:25,56.0,8.13,44.01,93,97,13.87
251,Pelym,RU,2020-03-31 20:54:25,61.01,62.0,29.93,98,100,1.81
252,Ugoofaaru,MV,2020-03-31 20:54:25,5.67,73.0,83.71,77,3,9.15
253,Si Sa Ket,TH,2020-03-31 20:54:25,15.11,104.33,89.01,83,4,3.29
254,Kalmunai,LK,2020-03-31 20:54:26,7.42,81.82,77.9,70,39,4.5
255,Gummidipundi,IN,2020-03-31 20:54:26,13.4,80.15,82.0,78,20,7.74
256,Krasnoselkup,RU,2020-03-31 20:51:02,65.7,82.47,6.93,94,18,9.42
257,Tabuk,PH,2020-03-31 20:54:26,17.42,121.44,72.23,66,96,2.71
258,Mayskiy,RU,2020-03-31 20:54:26,47.69,40.1,43.0,56,4,13.42
259,Constitucion,CL,2020-03-31 20:54:26,-35.33,-72.42,64.17,57,23,18.68
260,Saurimo,AO,2020-03-31 20:54:26,-9.66,20.39,68.58,65,23,1.66
261,Iqaluit,CA,2020-03-31 20:51:31,63.75,-68.51,-2.2,58,20,4.7
262,Dalvik,IS,2020-03-31 20:54:27,65.97,-18.53,42.8,48,75,33.33
263,Datong,CN,2020-03-31 20:54:27,40.09,113.29,34.09,41,99,12.19
264,Samana,DO,2020-03-31 20:54:27,19.21,-69.34,82.4,65,20,11.41
265,Vila Velha,BR,2020-03-31 20:54:27,-20.33,-40.29,81.0,83,75,4.7
266,Nakhon Ratchasima,TH,2020-03-31 20:50:00,14.97,102.1,83.5,50,4,5.26
267,Tazovskiy,RU,2020-03-31 20:54:27,67.47,78.7,5.88,95,23,10.92
268,Khatanga,RU,2020-03-31 20:50:35,71.97,102.5,-15.14,89,58,9.22
269,Payson,US,2020-03-31 20:50:35,40.04,-111.73,62.6,33,40,16.11
270,Hambantota,LK,2020-03-31 20:54:28,6.12,81.12,78.28,78,15,10.63
271,Clyde River,CA,2020-03-31 20:50:49,70.47,-68.59,1.4,70,90,19.46
272,Sao Joao Da Barra,BR,2020-03-31 20:54:28,-21.64,-41.05,80.6,78,40,11.41
273,Beira,MZ,2020-03-31 20:54:28,-19.84,34.84,73.87,79,1,4.72
274,Bo Rai,TH,2020-03-31 20:54:28,12.57,102.54,80.01,80,80,0.67
275,Mandiana,GN,2020-03-31 20:54:28,10.63,-8.68,90.14,16,0,3.13
276,Mount Isa,AU,2020-03-31 20:54:29,-20.73,139.5,66.2,63,0,1.12
277,Gaoyou,CN,2020-03-31 20:54:29,32.79,119.43,50.0,84,39,1.01
